     Model Name          Epochs    Val accuracy   Test accuracy
           Net1              10           70.16           70.28
           Net1              20           75.88           74.64
           Net1              30           78.16            76.2
           Net1              40           76.92           76.68
           Net1              50            77.8           77.16
           Net2              10           36.04           35.84
           Net2              20           63.12           61.44
           Net2              30           73.56           70.32
           Net2              40           76.16           73.16
           Net2              50            79.4           76.16
           Net3              10           39.84            39.6
           Net3              20            61.2            59.4
           Net3              30           70.24           69.16
           Net3              40           75.84           74.44
           Net3              50           77.32           75.48
           Net4              10            78.2           76.96
           Net4              20            81.4           79.92
           Net4              30            83.4           82.24
           Net4              40           83.84            82.2
           Net4              50           83.48           81.96
